       x       rho           u      p
    0.7320    0.2656    0.9275    0.3031
    0.7340    0.2656    0.9275    0.3031
    0.7360    0.2656    0.9275    0.3031
    0.7380    0.2656    0.9275    0.3031
    0.7400    0.2656    0.9275    0.3031
    0.7420    0.2656    0.9275    0.3031
    0.7440    0.2656    0.9275    0.3031
    0.7460    0.2656    0.9275    0.3031
    0.7480    0.2656    0.9275    0.3031
    0.7500    0.2656    0.9275    0.3031
    0.7520    0.2656    0.9275    0.3031
    0.7540    0.2656    0.9275    0.3031
    0.7560    0.2656    0.9275    0.3031
    0.7580    0.2656    0.9275    0.3031
    0.7600    0.2656    0.9275    0.3031
    0.7620    0.2656    0.9275    0.3031
    0.7640    0.2656    0.9275    0.3031
    0.7660    0.2656    0.9275    0.3031
    0.7680    0.2656    0.9275    0.3031
    0.7700    0.2656    0.9275    0.3031
    0.7720    0.2656    0.9275    0.3031
    0.7740    0.2656    0.9275    0.3031
    0.7760    0.2656    0.9275    0.3031
    0.7780    0.2656    0.9275    0.3031
    0.7800    0.2656    0.9275    0.3031
    0.7820    0.2656    0.9275    0.3031
    0.7840    0.2656    0.9275    0.3031
    0.7860    0.2656    0.9275    0.3031
    0.7880    0.2656    0.9275    0.3031
    0.7900    0.2656    0.9275    0.3031
    0.7920    0.2656    0.9275    0.3031
    0.7940    0.2656    0.9275    0.3031
    0.7960    0.2656    0.9275    0.3031
    0.7980    0.2656    0.9275    0.3031
    0.8000    0.2656    0.9275    0.3031
    0.8020    0.2656    0.9275    0.3031
    0.8040    0.2656    0.9275    0.3031
    0.8060    0.2656    0.9275    0.3031
    0.8080    0.2656    0.9275    0.3031
    0.8100    0.2656    0.9275    0.3031
    0.8120    0.2656    0.9275    0.3031
    0.8140    0.2656    0.9275    0.3031
    0.8160    0.2656    0.9275    0.3031
    0.8180    0.2656    0.9275    0.3031
    0.8200    0.2656    0.9275    0.3031
    0.8220    0.2656    0.9275    0.3031
    0.8240    0.2656    0.9275    0.3031
    0.8260    0.2656    0.9275    0.3031
    0.8280    0.2656    0.9275    0.3031
    0.8300    0.2656    0.9275    0.3031
    0.8320    0.2656    0.9275    0.3031
    0.8340    0.2656    0.9275    0.3031
    0.8360    0.2656    0.9275    0.3031
    0.8380    0.2656    0.9275    0.3031
